Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
28/07/2018;21;29;24.6;77;0;7.5;4;170;2;S 
29/07/2018;21;29.2;24;82;0;6;4;270;1;W 
30/07/2018;19;30.8;24.3;81;0;6.5;3;270;2;W 
31/07/2018;22;30.6;25.1;79;0;8.5;3;270;2;SW
01/08/2018;21;30.6;24.5;82;0;8.1;3;250;2;W 
02/08/2018;20;30;24.3;74;0;8.3;5;140;3;W 
03/08/2018;20;26.8;23.1;76;1;9.7;5;270;2;S 
04/08/2018;17;27.8;22.2;79;0;6.2;4;270;2;S 
05/08/2018;21;28.8;23.9;71;0;4.8;3;210;2;SW
06/08/2018;17;29.6;23;68;0;6.9;3;180;1;S 
07/08/2018;18;30.4;25;74;0;9.1;3;180;2;S 
08/08/2018;21;30.4;24.6;79;0;8.6;2;200;1;W 
09/08/2018;22;30.3;25.2;80;0;5.9;4;260;2;W 
10/08/2018;22;31.1;25.2;79;0;6.2;4;240;2;S 
11/08/2018;21;30;24.8;81;0;7.4;3;200;2;S 
12/08/2018;21;29.8;24.9;80;0;5.8;3;270;1;W 
13/08/2018;20;31.6;25.4;80;0;5;5;270;2;W 
14/08/2018;21;30.6;24.8;80;0;10.4;4;250;2;S 
15/08/2018;22;30.8;25.6;73;0;8.2;4;210;2;S 
16/08/2018;18;30.4;23.4;74;0;8.4;3;350;1;S 
17/08/2018;19;29.7;24.2;74;0;10.5;4;220;2;S 
18/08/2018;18;28.8;23.8;76;0;10.8;5;200;2;W 
19/08/2018;19;31;25;72;0;10.4;4;260;2;W 
20/08/2018;18;31.9;23.7;75;0;10.7;2;260;2;W 
21/08/2018;21;;25.4;80;0;10.7;3;200;1;S 
22/08/2018;22;;25.8;72;0;6.4;3;180;1;S 
23/08/2018;20;30.2;24.4;79;0;9.2;5;180;2;W 
24/08/2018;20;31.6;25.6;70;0;9.3;4;280;2;SW
